BFS Gde-nummer,Kanton,Gemeindename,Name_clean,Wohnpreis (aktuell)    ,Wohnpreis (vgl. Region),Wohnpreis (Entwicklung),Baulandpreis (aktuell) ,Baulandpreis (Entw.)   ,Bevölkerung (Prognose) ,Alterung (Prognose)    ,Beschäftigte (Prognose),Erreichbarkeit ÖV      ,Erreichbarkeit MIV     ,Steuern_DINKs          ,Gemeinde,Innenentwicklungspotenzial
4921,TG,Bussnang,Bussnang,228,1.0044052863436124,1.080568720379147,340,1.5454545454545454,134.744469870328,1.2492636399181198,1.026946107784431,435540,2163624,0.14688368055555556,Bussnang,0.02
4911,TG,Bürglen (TG),Burglen_TG,203,0.8942731277533039,1.085561497326203,270,0.9,130.8974053796715,1.152930590682212,1.1624834874504624,497564,1989126,0.15444722222222224,Bürglen (TG),0.57
3395,SG,Bütschwil-Ganterschwil,Butschwil_Ganterschwil,205,1.0199004975124377,1.0732984293193717,170,0.9444444444444444,125.05622188905548,1.1952895964677084,0.9359233097880929,442408,2480079,0.16128472222222223,Bütschwil-Ganterschwil,0.17
3401,SG,Degersheim,Degersheim,191,0.8681818181818182,1.1104651162790697,120,0.5714285714285714,93.88045540796963,1.229351096630701,0.8605341246290801,395226,1969635,0.17576631944444443,Degersheim,0.04
3234,SG,Diepoldsau,Diepoldsau,222,1.0471698113207548,1.1443298969072164,400,0.625,140.78397463611472,1.0461221275763748,0.8891280947255112,141360,1053799,0.1392704861111111,Diepoldsau,0.07
4545,TG,Diessenhofen,Diessenhofen,222,0.9367088607594937,1.0829268292682928,450,1.0465116279069768,99.16487711763303,1.1255528542152144,0.9830687830687831,195941,1919988,0.14924618055555555,Diessenhofen,0.05
4406,TG,Dozwil,Dozwil,219,1.0233644859813085,1.1116751269035532,190,0.95,109.01749663526245,1.1267279634773169,0.9324894514767932,162427,942438,0.14073472222222222,Dozwil,0.0
3352,SG,Ebnat-Kappel,Ebnat_Kappel,193,0.9601990049751243,1.1696969696969697,100,1.0,107.94664662784145,1.0699822289754668,0.8696418085731061,327579,2085704,0.17287083333333333,Ebnat-Kappel,0.0
3212,SG,Eggersriet,Eggersriet,209,0.95,1.0398009950248757,230,1.15,90.75595727198028,1.1333957824680114,0.7508305647840531,231223,1075662,0.16186319444444444,Eggersriet,0.0
4411,TG,Egnach,Egnach,239,1.1168224299065421,1.1658536585365853,390,0.6842105263157895,132.16258879242304,1.127120782799423,1.0224103585657371,279496,1009944,0.1539736111111111,Egnach,0.5
