BFS Gde-nummer,Kanton,Gemeindename,Name_clean,Wohnpreis (aktuell)    ,Wohnpreis (vgl. Region),Wohnpreis (Entwicklung),Baulandpreis (aktuell) ,Baulandpreis (Entw.)   ,Bevölkerung (Prognose) ,Alterung (Prognose)    ,Beschäftigte (Prognose),Erreichbarkeit ÖV      ,Erreichbarkeit MIV     ,Steuern_DINKs          ,Gemeinde,Innenentwicklungspotenzial
1026,LU,Eschenbach (LU),Eschenbach_LU,242,0.8203389830508474,1.0254237288135593,920,1.1948051948051948,97.53903148981212,1.1829936266856838,0.8803122289679098,488210,3167738,0.1357361111111111,Eschenbach (LU),0.13
1010,LU,Escholzmatt-Marbach,Escholzmatt_Marbach,191,0.9646464646464646,1.07909604519774,100,1.0,101.84250932221978,1.1186093976006126,0.7567401960784313,6665,881110,0.15648923611111112,Escholzmatt-Marbach,0.0
1128,LU,Ettiswil,Ettiswil,210,0.963302752293578,1.0880829015544042,210,0.65625,113.77410468319559,1.2563244287633004,0.7772795216741406,386809,2929365,0.1616767361111111,Ettiswil,0.0
1129,LU,Fischbach,Fischbach,207,0.9495412844036697,1.1828571428571428,100,1.0,105.8011049723757,1.1299343230485053,0.696969696969697,139182,2158247,0.16340694444444445,Fischbach,0.0
1004,LU,Flühli,Fluhli,208,1.0505050505050506,1.1555555555555554,110,1.1,104.41334768568353,0.9735732323232322,0.7900874635568513,19671,360118,0.16340694444444445,Flühli,0.0
1085,LU,Geuensee,Geuensee,238,0.9714285714285714,1.1782178217821782,340,0.8292682926829268,98.70792247534852,1.3317973591511356,0.9700374531835206,336957,3556539,0.15821979166666666,Geuensee,0.1
1055,LU,Gisikon,Gisikon,267,0.9050847457627119,1.13135593220339,910,1.123456790123457,124.2904290429043,1.2697470700789284,0.9328859060402686,406044,3249537,0.14265381944444444,Gisikon,1.26
1056,LU,Greppen,Greppen,299,0.9933554817275747,1.1912350597609562,830,1.2388059701492538,113.6997538966366,1.029811580045791,0.7040816326530612,311192,2704779,0.14783993055555555,Greppen,0.0
1131,LU,Grossdietwil,Grossdietwil,198,0.908256880733945,1.0588235294117647,180,1.0,111.41304347826087,1.1291076118662324,0.9614325068870522,115210,2832392,0.1668690972222222,Grossdietwil,0.0
1086,LU,Grosswangen,Grosswangen,221,1.0137614678899083,1.078048780487805,190,1.3571428571428572,112.42905788876277,1.2445718627206572,0.780128794848206,231341,2565490,0.151303125,Grosswangen,0.0
1005,LU,Hasle (LU),Hasle_LU,188,0.9494949494949495,1.0502793296089385,100,1.0,91.04234527687296,1.2860883225693838,0.8211009174311927,121303,1031576,0.1668690972222222,Hasle (LU),0.0
1132,LU,Hergiswil bei Willisau,Hergiswil_bei_Willisau,199,0.9128440366972477,1.1637426900584795,100,0.7692307692307693,90.63786008230453,1.2618320545633768,0.7580340264650284,102308,1347194,0.15648923611111112,Hergiswil bei Willisau,0.0
1088,LU,Hildisrieden,Hildisrieden,268,0.9084745762711864,1.0850202429149798,880,1.2394366197183098,117.30615507593924,1.112309794022161,0.8823529411764706,339211,3138351,0.13919201388888888,Hildisrieden,0.0
1030,LU,Hitzkirch,Hitzkirch,239,0.9755102040816327,1.1220657276995305,540,1.5,123.71015445284259,1.1259594258721708,0.9216666666666666,144411,2626619,0.14957152777777777,Hitzkirch,0.12
1031,LU,Hochdorf,Hochdorf,240,0.9795918367346939,1.1764705882352942,570,0.8769230769230769,100.90394357802722,1.2330556231400935,0.9855212355212356,402576,2799399,0.15303368055555555,Hochdorf,0.19
1032,LU,Hohenrain,Hohenrain,234,0.9551020408163265,1.125,360,1.6363636363636365,81.47847278635255,1.2877314136712634,0.8475452196382429,191915,2714460,0.1616767361111111,Hohenrain,0.06
1058,LU,Horw,Horw,317,1.0745762711864406,1.178438661710037,2060,1.2261904761904763,141.96118100777645,0.91612017531266,1.196884233145313,517316,2754187,0.13746770833333335,Horw,1.12
1703,ZG,Hünenberg,Hunenberg,407,0.8828633405639913,1.186588921282799,3970,1.588,100.15604101649576,1.0152854122948962,1.0954764884677275,414134,3258337,0.08892048611111111,Hünenberg,1.05
1033,LU,Inwil,Inwil,259,0.8779661016949153,1.111587982832618,790,1.0972222222222223,125.95759233926128,1.3153867526603193,1.150842266462481,418169,3242959,0.14611388888888888,Inwil,0.4
1089,LU,Knutwil,Knutwil,254,1.036734693877551,1.165137614678899,540,0.9818181818181818,121.38314785373609,1.1777215694598528,0.9216300940438872,407203,3138370,0.1616767361111111,Knutwil,0.09
1059,LU,Kriens,Kriens,283,0.9593220338983051,1.1365461847389557,1570,1.1376811594202898,122.22740602505998,1.0615296763380606,1.1936708860759495,568884,2730197,0.15303368055555555,Kriens,0.95
1135,LU,Luthern,Luthern,187,0.8577981651376146,1.0685714285714285,100,1.0,93.30645161290323,1.1454225217291418,0.7064220183486238,15440,1175005,0.17032465277777778,Luthern,0.0
1061,LU,Luzern,Luzern,319,1.0813559322033899,1.1433691756272402,2770,1.3446601941747574,113.25811164969734,1.1185266014859625,1.2173447705988825,1264688,3121719,0.14438541666666665,Luzern,1.7
1062,LU,Malters,Malters,233,0.7898305084745763,1.088785046728972,630,0.984375,111.94712760549059,1.2065777138663711,1.110229007633588,601596,2318893,0.15475763888888888,Malters,0.03
1091,LU,Mauensee,Mauensee,248,1.0122448979591836,1.0689655172413792,560,0.9491525423728814,112.91390728476821,1.227881044335158,0.7236180904522613,492270,3330754,0.15303368055555555,Mauensee,0.0
1064,LU,Meierskappel,Meierskappel,293,0.9932203389830508,1.1015037593984962,1010,1.294871794871795,116.92789968652038,1.1109712275346255,0.7846153846153847,504983,3014078,0.15648923611111112,Meierskappel,0.0
1704,ZG,Menzingen,Menzingen,351,0.7613882863340564,1.202054794520548,1730,1.3410852713178294,104.80851063829788,1.08776056100441,0.9359605911330049,216208,2955425,0.09057222222222222,Menzingen,0.01
1136,LU,Menznau,Menznau,199,0.9128440366972477,1.0874316939890711,150,0.75,109.59034614163227,1.1857166764287506,0.6888519134775375,409190,2114550,0.15475763888888888,Menznau,0.0
1137,LU,Nebikon,Nebikon,214,0.981651376146789,1.0439024390243903,410,0.7884615384615384,121.11526691601496,1.265403870294628,0.8491686460807601,539412,3640712,0.14957152777777777,Nebikon,0.5
1093,LU,Neuenkirch,Neuenkirch,243,0.9918367346938776,1.0848214285714286,800,1.0389610389610389,107.51141236685572,1.2594357632764008,0.9850885368126748,375428,2855350,0.151303125,Neuenkirch,0.12
1705,ZG,Neuheim,Neuheim,349,0.7570498915401301,1.1150159744408945,2120,1.1216931216931216,121.60664819944598,1.0830346475507766,0.7966537966537967,846067,3107440,0.09222187500000001,Neuheim,0.21
1094,LU,Nottwil,Nottwil,249,1.0163265306122449,1.1066666666666667,630,1.1454545454545455,121.86893203883496,1.2312058704279085,1.296688132474701,422578,2943476,0.151303125,Nottwil,0.76
1095,LU,Oberkirch,Oberkirch,262,1.0693877551020408,1.0916666666666666,790,1.253968253968254,137.48531139835487,1.2119114612643032,1.3108399138549893,390384,3092200,0.14092222222222223,Oberkirch,0.62
1706,ZG,Oberägeri,Oberageri,425,0.9219088937093276,1.2354651162790697,2610,1.3248730964467006,112.00972940103375,1.0140364995798412,0.8955453149001535,180999,2464470,0.08892048611111111,Oberägeri,0.06
1139,LU,Pfaffnau,Pfaffnau,225,0.9533898305084746,1.1363636363636365,340,0.7906976744186046,125.4231184731725,1.2709793298226664,1.2721311475409838,231898,3683349,0.16340694444444445,Pfaffnau,0.09
1037,LU,Rain,Rain,245,0.8305084745762712,1.1136363636363635,610,0.9242424242424242,129.05853952926975,1.1883846992879572,0.97677793904209,308066,3162337,0.14611388888888888,Rain,0.0
1140,LU,Reiden,Reiden,206,0.8728813559322034,1.0957446808510638,400,0.9090909090909091,127.91243158717748,1.1532578651970316,1.1872452649244787,711344,3912294,0.16340694444444445,Reiden,0.16
1097,LU,Rickenbach (LU),Rickenbach_LU,222,0.9061224489795918,1.1044776119402986,340,1.36,145.26261585993822,1.1681742567462792,0.8668363019508057,297442,2917507,0.14957152777777777,Rickenbach (LU),0.03
1707,ZG,Risch,Risch,381,0.8264642082429501,1.1869158878504673,3560,1.4710743801652892,131.48877848209696,1.1166765878579905,1.3744583808437856,1117306,3323428,0.08809652777777778,Risch,2.01
1142,LU,Roggliswil,Roggliswil,206,0.8728813559322034,1.067357512953368,110,1.0,119.46902654867256,1.1818483315098467,0.8143712574850299,213862,3555779,0.15995138888888888,Roggliswil,0.0
1007,LU,Romoos,Romoos,215,1.0858585858585859,1.075,110,1.1,90.16641452344932,1.2694426261902705,0.6455696202531646,139985,882695,0.16340694444444445,Romoos,0.0
1065,LU,Root,Root,267,0.9050847457627119,1.0637450199203187,1350,1.3775510204081634,154.93000150534397,1.1943216190663282,1.157873293949888,616986,3171226,0.13919201388888888,Root,1.0
1040,LU,Rothenburg,Rothenburg,264,0.8949152542372881,1.0864197530864197,1450,1.0984848484848484,110.14879816863792,1.1069772064294707,1.3160489629377765,489947,3397265,0.14438541666666665,Rothenburg,0.96
1098,LU,Ruswil,Ruswil,234,1.073394495412844,1.04,480,1.411764705882353,104.87998939132741,1.1962503087090859,0.917219836001562,354849,2411300,0.15648923611111112,Ruswil,0.12
1039,LU,Römerswil,Romerswil,231,0.9428571428571428,1.1213592233009708,270,0.9642857142857143,92.84116331096197,1.3086903183023877,0.8411016949152543,216149,2876445,0.15995138888888888,Römerswil,0.0
1099,LU,Schenkon,Schenkon,259,1.0571428571428572,1.0614754098360655,780,1.1304347826086956,106.5126724414501,1.2449281930714102,1.399728997289973,457756,3493061,0.12535625,Schenkon,0.11
1100,LU,Schlierbach,Schlierbach,226,0.9224489795918367,1.0,410,1.2058823529411764,114.88095238095238,1.3291491712707182,1.1526448860225094,215416,3202562,0.14438541666666665,Schlierbach,0.0
1041,LU,Schongau,Schongau,220,0.8979591836734694,1.0576923076923077,230,1.3529411764705883,105.8933582787652,1.1608227303905942,0.8439490445859872,65263,2823583,0.15995138888888888,Schongau,0.0
1066,LU,Schwarzenberg,Schwarzenberg,232,0.7864406779661017,1.0265486725663717,470,0.9038461538461539,102.86186020913594,1.2096198084460363,0.742671009771987,195801,1953019,0.15995138888888888,Schwarzenberg,0.0
1143,LU,Schötz,Schotz,215,0.9862385321100917,1.096938775510204,240,1.2,126.06768734891217,1.2925371945268775,0.9227748691099477,436645,3289839,0.1616767361111111,Schötz,0.02
1008,LU,Schüpfheim,Schupfheim,202,1.02020202020202,1.0253807106598984,190,0.6785714285714286,107.9187105816398,1.1095306154287465,0.8110986547085202,156940,1002184,0.16340694444444445,Schüpfheim,0.0
